nome;categoria;linha;area_disciplinar;grande_area;lattes;limite_area_disciplinar;limite_grande_area
Adeliane Castro da Costa;permanent;2;Microbiologia;Ciências Biológicas;;60;80
David Michel de Oliveira;permanent;2;Educação Física;Ciências da Saúde;;;
Dirceu Guilherme de Souza Ramos;permanent;2;Medicina Veterinária;Ciências Agrárias;;;
Eduardo Vignoto Fernandes;permanent;2;Educação Física;Ciências da Saúde;;;
Fernando Henrique Cristovan;permanent;1;Educação Física;Ciências da Saúde;;;
Giselle Soares Passos;permanent;2;Educação Física;Ciências da Saúde;;;
Hanstter Hallison Alves Rezende;permanent;2;Microbiologia;Ciências Biológicas;;;
Lívia Cristina de Resende Izidoro;permanent;2;Enfermagem;Ciências da Saúde;;;
Ludmila Grego Maia;permanent;2;Enfermagem;Ciências da Saúde;;;
Marcos Gonçalves de Santana;permanent;2;Educação Física;Ciências da Saúde;;;
Paulo de Tarso Garcia;permanent;1;Química;Ciências Exatas e da Terra;;;
Rafael Menezes da Costa;permanent;1;Farmacologia;Ciências Biológicas;;;
Roosevelt Alves da Silva;permanent;1;Física;Ciências Exatas e da Terra;;;
Rosângela Maria Rodrigues;permanent;2;Parasitologia;Ciências Biológicas;;;
Ariadne de Andrade Costa;collaborator;1;Física;Ciências Exatas e da Terra;;;
Fabio Luiz Paranhos Costa;collaborator;1;Química;Ciências Exatas e da Terra;;;
Marcos Lázaro Moreli;collaborator;2;Microbiologia;Ciências Biológicas;;;
Mônica Rodrigues Ferreira Machado;collaborator;1;Medicina Veterinária;Ciências Agrárias;;;
Sandra Aparecida Benite Ribeiro;collaborator;2;Fisiologia;Ciências Biológicas;;;
Wagner Gouvêa dos Santos;collaborator;2;Genética;Ciências Biológicas;;;
